#Clover,Crystal,Segment,X,Y,Z
0,0,0,60.186,90.0803,-161.245
0,0,1,69.4456,104.207,-143.807
0,0,2,55.1943,109.714,-142.487
0,0,3,47.3589,94.9941,-158.626
0,0,4,73.4288,115.326,-194.078
0,0,5,83.2816,130.498,-176.05
0,0,6,67.3816,137.116,-173.677
0,0,7,59.3942,120.545,-192.094
0,1,0,89.5897,134.046,-108.361
0,1,1,70.6397,141.894,-106.057
0,1,2,64.0165,127.332,-122.778
0,1,3,79.848,119.822,-125.245
0,1,4,104.161,163.896,-136.553
0,1,5,84.8118,172.505,-134.233
0,1,6,76.523,156.058,-152.628
0,1,7,94.6467,148.581,-154.643
0,2,0,31.4619,158.146,-108.337
0,2,1,28.2271,141.01,-125.227
0,2,2,44.7259,135.285,-122.815
0,2,3,50.3369,150.427,-106.145
0,2,4,42.0673,189.494,-136.747
0,2,5,37.9679,171.907,-154.808
0,2,6,56.0549,164.383,-152.778
0,2,7,61.8096,181.879,-134.383
0,3,0,21.1276,106.281,-161.229
0,3,1,33.7126,100.557,-158.505
0,3,2,38.5695,116.563,-142.518
0,3,3,24.5862,122.808,-143.99
0,3,4,29.7013,133.284,-194.194
0,3,5,43.3007,127.057,-192.226
0,3,6,49.381,144.403,-173.824
0,3,7,33.4779,150.976,-176.166
1,0,0,88.8042,-59.5993,-159.858
1,0,1,102.911,-68.8885,-142.42
1,0,2,108.411,-54.6462,-141.076
1,0,3,93.6963,-46.8001,-157.215
1,0,4,114.042,-72.8514,-192.686
1,0,5,129.2,-82.7269,-174.657
1,0,6,135.812,-66.8351,-172.266
1,0,7,119.245,-58.8383,-190.683
1,1,0,132.709,-89.094,-106.974
1,1,1,140.578,-70.1161,-104.646
1,1,2,126.022,-63.4823,-121.368
1,1,3,118.505,-79.3229,-123.858
1,1,4,162.566,-103.656,-135.16
1,1,5,171.191,-84.2852,-132.821
1,1,6,154.748,-75.9871,-151.216
1,1,7,147.266,-94.1191,-153.25
1,2,0,156.85,-30.8671,-106.95
1,2,1,139.707,-27.6671,-123.84
1,2,2,133.981,-44.1773,-121.405
1,2,3,149.127,-49.777,-104.734
1,2,4,188.197,-41.4842,-135.354
1,2,5,170.604,-37.4111,-153.415
1,2,6,163.078,-55.5082,-151.366
1,2,7,180.577,-61.2529,-132.971
1,3,0,104.964,-20.64,-159.842
1,3,1,99.2437,-33.1899,-157.094
1,3,2,115.254,-38.0357,-141.108
1,3,3,121.498,-24.0639,-142.603
1,3,4,131.968,-29.202,-192.801
1,3,5,125.745,-42.7749,-190.815
1,3,6,143.095,-48.8454,-172.412
1,3,7,149.666,-32.9525,-174.773
2,0,0,138.917,17.2946,-37.4119
2,0,1,138.494,17.4408,-13.1381
2,0,2,130.073,38.9861,-13.91
2,0,3,129.503,39.5116,-37.1095
2,0,4,180.309,30.7863,-40.5599
2,0,5,180.404,30.5558,-15.0203
2,0,6,170.443,54.6043,-14.7784
2,0,7,170.535,54.3817,-40.8084
2,1,0,138.928,17.2681,37.3833
2,1,1,129.329,39.5658,37.086
2,1,2,130.055,39.0309,13.9584
2,1,3,138.632,17.4726,13.2546
2,1,4,180.233,30.9696,40.7584
2,1,5,170.459,54.5652,41.0078
2,1,6,170.367,54.7886,14.9779
2,1,7,180.328,30.7401,15.2189
2,2,0,110.459,86.0003,37.4119
2,2,1,110.262,85.5972,13.1381
2,2,2,119.543,64.4083,13.91
2,2,3,119.511,63.6334,37.1095
2,2,4,149.306,105.745,40.56
2,2,5,149.171,105.959,15.0203
2,2,6,159.133,81.9103,14.7784
2,2,7,159.04,82.133,40.8084
2,3,0,110.448,86.0268,-37.3833
2,3,1,119.427,63.4723,-37.086
2,3,2,119.561,64.3636,-13.9584
2,3,3,110.382,85.6724,-13.2546
2,3,4,149.343,105.545,-40.7584
2,3,5,159.116,81.9495,-41.0078
2,3,6,159.209,81.726,-14.9979
2,3,7,149.248,105.775,-15.2189
3,0,0,110.459,-86.0003,-37.4119
3,0,1,110.262,-85.5972,-13.1381
3,0,2,119.543,-64.4083,-13.91
3,0,3,119.511,-63.6334,-37.1095
3,0,4,149.267,-105.728,-40.5599
3,0,5,149.171,-105.959,-15.0203
3,0,6,159.133,-81.9103,-14.7784
3,0,7,159.04,-82.133,-40.8084
3,1,0,110.448,-86.0268,37.3833
3,1,1,119.427,-63.4723,37.086
3,1,2,119.562,-64.3636,13.9584
3,1,3,110.382,-85.6724,13.2546
3,1,4,149.343,-105.545,40.7584
3,1,5,159.116,-81.9495,41.0078
3,1,6,159.209,-81.726,14.9779
3,1,7,149.248,-105.775,15.2189
3,2,0,138.917,-17.2946,37.4119
3,2,1,138.494,-17.4408,13.1381
3,2,2,130.073,-38.9861,13.91
3,2,3,129.503,-39.5116,37.1095
3,2,4,180.348,-30.8024,40.56
3,2,5,180.404,-30.5558,15.0203
3,2,6,170.443,-54.6043,14.7784
3,2,7,170.535,-54.3817,40.8084
3,3,0,138.928,-17.2681,-37.3833
3,3,1,129.329,-39.5658,-37.086
3,3,2,130.055,-39.0308,-13.9584
3,3,3,138.632,-17.4726,-13.2546
3,3,4,180.233,-30.9696,-40.7584
3,3,5,170.459,-54.5652,-41.0078
3,3,6,170.367,-54.7886,-14.9979
3,3,7,180.328,-30.7401,-15.2189
4,0,0,161.386,32.9443,111.806
4,0,1,144.267,29.6253,128.697
4,0,2,138.546,46.0966,126.341
4,0,3,153.678,51.735,109.672
4,0,4,192.711,43.5096,140.201
4,0,5,175.165,39.3588,158.29
4,0,6,167.645,57.4213,156.306
4,0,7,185.132,63.2003,137.911
4,1,0,109.574,22.3512,164.698
4,1,1,103.838,35.0208,162.032
4,1,2,119.835,39.9047,146.045
4,1,3,126.084,25.8936,147.46
4,1,4,136.573,30.9527,197.678
4,1,5,130.336,44.6163,195.755
4,1,6,147.688,50.7252,177.338
4,1,7,154.25,34.7927,179.649
4,2,0,93.2737,61.6489,164.714
4,2,1,107.448,70.8371,147.277
4,2,2,112.972,56.564,146.013
4,2,3,98.2393,48.7546,162.153
4,2,4,118.563,74.8817,197.591
4,2,5,133.743,84.6673,179.532
4,2,6,140.376,68.7473,177.206
4,2,7,123.793,60.7829,195.623
4,3,0,137.386,90.8328,111.83
4,3,1,145.181,71.9504,109.585
4,3,2,130.607,65.3527,126.304
4,3,3,123.114,81.1622,128.715
4,3,4,167.218,105.426,140.037
4,3,5,175.789,86.1294,137.761
4,3,6,159.343,77.8695,156.142
4,3,7,151.868,95.9667,158.126
5,0,0,-155.554,30.271,-105.564
5,0,1,-138.404,27.1068,-122.454
5,0,2,-132.677,43.6285,-119.994
5,0,3,-147.827,49.2166,-103.324
5,0,4,-186.9,40.9005,-133.962
5,0,5,-169.3,36.8541,-152.023
5,0,6,-161.773,54.9614,-149.955
5,0,7,-179.276,60.6959,-131.56
5,1,0,-103.647,20.1536,-158.456
5,1,1,-97.9308,32.6677,-155.683
5,1,2,-113.945,37.502,-139.698
5,1,3,-120.187,23.5421,-141.216
5,1,4,-130.652,28.7034,-191.409
5,1,5,-124.433,42.2494,-189.404
5,1,6,-141.787,48.3098,-171.001
5,1,7,-148.355,32.4273,-173.381
5,2,0,-87.5288,59.0118,-158.472
5,2,1,-101.616,68.3311,-141.034
5,2,2,-107.108,54.0979,-139.666
5,2,3,-92.3988,46.2408,-155.804
5,2,4,-112.759,72.2735,-191.293
5,2,5,-127.902,82.172,-173.265
5,2,6,-134.508,66.2886,-170.855
5,2,7,-117.946,58.2821,-189.272
5,3,0,-131.371,88.5991,-105.588
5,3,1,-139.263,69.5928,-103.236
5,3,2,-124.712,62.9481,-119.958
5,3,3,-117.187,78.798,-122.471
5,3,4,-161.236,103.152,-133.768
5,3,5,-169.877,83.7589,-131.41
5,3,6,-153.439,75.4512,-149.805
5,3,7,-145.95,93.5917,-151.858
6,0,0,-137.994,16.9119,37.4119
6,0,1,-137.57,17.0581,13.1381
6,0,2,-129.149,38.6034,13.91
6,0,3,-128.579,39.1289,37.1095
6,0,4,-179.424,30.4197,40.56
6,0,5,-179.48,30.1732,15.0203
6,0,6,-169.519,54.2216,14.7784
6,0,7,-169.611,53.999,40.8084
6,1,0,-138.004,16.8855,-37.3833
6,1,1,-128.405,39.1831,-37.086
6,1,2,-129.131,38.6481,-13.9584
6,1,3,-137.708,17.0899,-13.2546
6,1,4,-179.309,30.587,-40.7584
6,1,5,-169.535,54.1825,-41.0078
6,1,6,-169.443,54.406,-14.9979
6,1,7,-179.404,30.3574,-15.2189
6,2,0,-109.535,85.6177,-37.4119
6,2,1,-109.338,85.2146,-13.1381
6,2,2,-118.619,64.0256,-13.91
6,2,3,-118.587,63.2507,-37.1095
6,2,4,-148.343,105.346,-40.5599
6,2,5,-148.247,105.576,-15.0203
6,2,6,-158.209,81.5276,-14.7784
6,2,7,-158.116,81.7503,-40.8084
6,3,0,-109.524,85.6441,37.3833
6,3,1,-118.503,63.0896,37.086
6,3,2,-118.638,63.9809,13.9584
6,3,3,-109.458,85.2897,13.2546
6,3,4,-148.419,105.162,40.7584
6,3,5,-158.192,81.5668,41.0078
6,3,6,-158.285,81.3433,14.9779
6,3,7,-148.324,105.392,15.2189
7,0,0,-109.535,-85.6177,37.4119
7,0,1,-109.338,-85.2146,13.1381
7,0,2,-118.619,-64.0256,13.91
7,0,3,-118.587,-63.2507,37.1095
7,0,4,-148.382,-105.362,40.56
7,0,5,-148.247,-105.576,15.0203
7,0,6,-158.209,-81.5276,14.7784
7,0,7,-158.116,-81.7503,40.8084
7,1,0,-109.524,-85.6441,-37.3833
7,1,1,-118.503,-63.0896,-37.086
7,1,2,-118.638,-63.9809,-13.9584
7,1,3,-109.458,-85.2897,-13.2546
7,1,4,-148.419,-105.162,-40.7584
7,1,5,-158.192,-81.5668,-41.0078
7,1,6,-158.285,-81.3433,-14.9979
7,1,7,-148.324,-105.392,-15.2189
7,2,0,-137.994,-16.9119,-37.4119
7,2,1,-137.57,-17.0581,-13.1381
7,2,2,-129.149,-38.6034,-13.91
7,2,3,-128.579,-39.1289,-37.1095
7,2,4,-179.385,-30.4036,-40.5599
7,2,5,-179.48,-30.1732,-15.0203
7,2,6,-169.519,-54.2216,-14.7784
7,2,7,-169.611,-53.999,-40.8084
7,3,0,-138.004,-16.8855,37.3833
7,3,1,-128.405,-39.1831,37.086
7,3,2,-129.131,-38.6482,13.9584
7,3,3,-137.708,-17.0899,13.2546
7,3,4,-179.309,-30.587,40.7584
7,3,5,-169.535,-54.1825,41.0078
7,3,6,-169.443,-54.406,14.9779
7,3,7,-179.404,-30.3574,15.2189
8,0,0,-60.186,90.0803,161.245
8,0,1,-69.4456,104.207,143.807
8,0,2,-55.1943,109.714,142.487
8,0,3,-47.3589,94.9941,158.626
8,0,4,-73.4409,115.353,194.108
8,0,5,-83.2816,130.498,176.05
8,0,6,-67.3816,137.116,173.677
8,0,7,-59.3942,120.545,192.094
8,1,0,-89.5897,134.046,108.361
8,1,1,-70.6397,141.894,106.057
8,1,2,-64.0165,127.332,122.778
8,1,3,-79.848,119.822,125.245
8,1,4,-104.161,163.896,136.553
8,1,5,-84.8118,172.505,134.233
8,1,6,-76.5292,156.07,152.613
8,1,7,-94.6467,148.581,154.643
8,2,0,-31.4619,158.146,108.337
8,2,1,-28.2271,141.01,125.227
8,2,2,-44.7259,135.285,122.815
8,2,3,-50.3369,150.427,106.145
8,2,4,-42.055,189.467,136.718
8,2,5,-37.9679,171.907,154.808
8,2,6,-56.0549,164.383,152.778
8,2,7,-61.8096,181.879,134.383
8,3,0,-21.1276,106.281,161.229
8,3,1,-33.7126,100.557,158.505
8,3,2,-38.5695,116.563,142.518
8,3,3,-24.5862,122.808,143.99
8,3,4,-29.7013,133.284,194.194
8,3,5,-43.3007,127.057,192.226
8,3,6,-49.3856,144.417,173.809
8,3,7,-33.4779,150.976,176.166
9,0,0,-91.9958,-61.0643,163.326
9,0,1,-106.152,-70.2807,145.889
9,0,2,-111.668,-56.0163,144.602
9,0,3,-96.9411,-48.1966,160.742
9,0,4,-117.279,-74.3058,196.197
9,0,5,-132.445,-84.1132,178.139
9,0,6,-139.072,-68.2011,175.794
9,0,7,-122.494,-60.2276,194.211
9,1,0,-136.05,-90.335,110.442
9,1,1,-143.866,-71.4259,108.174
9,1,2,-129.297,-64.8181,124.894
9,1,3,-121.798,-80.6363,127.327
9,1,4,-165.889,-104.92,138.643
9,1,5,-174.475,-85.6022,136.35
9,1,6,-158.034,-77.3333,154.731
9,1,7,-150.554,-95.4385,156.732
9,2,0,-160.09,-32.3521,110.418
9,2,1,-142.964,-29.0663,127.309
9,2,2,-137.241,-45.5484,124.931
9,2,3,-152.378,-51.1761,108.261
9,2,4,-191.413,-42.9283,138.807
9,2,5,-173.861,-38.8026,156.897
9,2,6,-166.34,-56.8748,154.895
9,2,7,-183.831,-62.6442,136.499
9,3,0,-108.257,-21.861,163.31
9,3,1,-102.525,-34.4972,160.621
9,3,2,-118.526,-39.3705,144.634
9,3,3,-124.773,-25.3704,146.071
9,3,4,-135.258,-30.4516,196.284
9,3,5,-129.024,-44.0899,194.343
9,3,6,-146.379,-50.1893,175.927
9,3,7,-152.941,-34.2666,178.255
