Clover,Crystal,Segment,X,Y,Z
0,0,0,52.632,73.8728,-143.613
0,0,1,62.3164,87.7061,-126.17
0,0,2,48.193,93.1065,-124.512
0,0,3,40.2013,78.4655,-140.645
0,0,4,66.0198,98.9984,-176.353
0,0,5,76.192,113.963,-158.328
0,0,6,60.4069,120.494,-155.688
0,0,7,52.2853,103.99,-174.106
0,1,0,83.3431,116.936,-90.7293
0,1,1,63.9949,125.106,-88.076
0,1,2,57.2173,110.622,-104.803
0,1,3,73.1785,103.005,-107.608
0,1,4,97.7703,146.906,-118.825
0,1,5,78.1186,155.743,-116.243
0,1,6,69.6972,139.362,-134.637
0,1,7,87.9375,131.798,-136.919
0,2,0,23.7804,141.63,-90.7045
0,2,1,21.0536,124.402,-107.59
0,2,2,37.7177,118.661,-104.84
0,2,3,43.1627,133.858,-88.1645
0,2,4,34.5731,172.961,-119.022
0,2,5,30.8463,155.294,-137.086
0,2,6,49.076,147.751,-134.788
0,2,7,54.6884,165.294,-116.394
0,3,0,15.0085,89.4793,-143.597
0,3,1,27.0841,83.8084,-140.524
0,3,2,31.7771,99.8691,-124.543
0,3,3,17.9614,106.098,-126.353
0,3,4,23.3953,116.499,-176.466
0,3,5,36.6195,110.324,-174.237
0,3,6,42.5596,127.718,-155.833
0,3,7,26.8009,134.27,-158.441
1,0,0,73.8728,-52.632,-143.613
1,0,1,87.7061,-62.3164,-126.17
1,0,2,93.1065,-48.193,-124.512
1,0,3,78.4655,-40.2013,-140.645
1,0,4,98.9984,-66.0198,-176.353
1,0,5,113.963,-76.192,-158.328
1,0,6,120.494,-60.4069,-155.688
1,0,7,103.99,-52.2853,-174.106
1,1,0,116.936,-83.3431,-90.7293
1,1,1,125.106,-63.9949,-88.076
1,1,2,110.622,-57.2173,-104.803
1,1,3,103.005,-73.1785,-107.608
1,1,4,146.906,-97.7703,-118.825
1,1,5,155.743,-78.1186,-116.243
1,1,6,139.362,-69.6972,-134.637
1,1,7,131.798,-87.9375,-136.919
1,2,0,141.63,-23.7804,-90.7045
1,2,1,124.402,-21.0536,-107.59
1,2,2,118.661,-37.7177,-104.84
1,2,3,133.858,-43.1627,-88.1645
1,2,4,172.961,-34.5731,-119.022
1,2,5,155.294,-30.8463,-137.086
1,2,6,147.751,-49.076,-134.788
1,2,7,165.294,-54.6884,-116.394
1,3,0,89.4793,-15.0085,-143.597
1,3,1,83.8084,-27.0841,-140.524
1,3,2,99.8691,-31.7771,-124.543
1,3,3,106.098,-17.9614,-126.353
1,3,4,116.499,-23.3953,-176.466
1,3,5,110.324,-36.6195,-174.237
1,3,6,127.718,-42.5596,-155.833
1,3,7,134.27,-26.8009,-158.441
2,0,0,163.4,27.4357,-37.4119
2,0,1,162.976,27.5819,-13.1381
2,0,2,154.556,49.1272,-13.91
2,0,3,153.986,49.6527,-37.1095
2,0,4,204.792,40.9274,-40.5599
2,0,5,204.887,40.697,-15.0203
2,0,6,194.926,64.7454,-14.7784
2,0,7,195.018,64.5228,-40.8084
2,1,0,163.411,27.4093,37.3833
